Id;StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Alter;Geschlecht;Bildungsgrad;Bildungsgrad_9_TEXT;T„tigkeit;Technische Affinit„t;KI Nutzerverhalten;UEQ 1 (Standard)_1;UEQ 1 (Standard)_2;UEQ 1 (Standard)_3;UEQ 1 (Standard)_4;UEQ 1 (Standard)_5;UEQ 1 (Standard)_6;UEQ 1 (Standard)_7;UEQ 1 (Standard)_8;UEQ 1 (Standard)_9;UEQ 1 (Standard)_10;UEQ 1 (Standard)_11;UEQ 1 (Standard)_12;UEQ 1 (Standard)_13;UEQ 1 (Standard)_14;UEQ 1 (Standard)_15;UEQ 1 (Standard)_16;UEQ 1 (Standard)_17;UEQ 1 (Standard)_18;UEQ 1 (Standard)_19;UEQ 1 (Standard)_20;UEQ 1 (Standard)_21;UEQ 1 (Standard)_22;UEQ 1 (Standard)_23;UEQ 1 (Standard)_24;UEQ 1 (Standard)_25;UEQ 1 (Standard)_26;UES 1 (Standard)_1;UES 1 (Standard)_2;UES 1 (Standard)_3;UES 1 (Standard)_4;UES 1 (Standard)_5;UES 1 (Standard)_6;UES 1 (Standard)_7;UES 1 (Standard)_8;UES 1 (Standard)_9;UES 1 (Standard)_10;UES 1 (Standard)_11;UES 1 (Standard)_12;AF 1 (Standard);UEQ 2 (Standard)_1;UEQ 2 (Standard)_2;UEQ 2 (Standard)_3;UEQ 2 (Standard)_4;UEQ 2 (Standard)_5;UEQ 2 (Standard)_6;UEQ 2 (Standard)_7;UEQ 2 (Standard)_8;UEQ 2 (Standard)_9;UEQ 2 (Standard)_10;UEQ 2 (Standard)_11;UEQ 2 (Standard)_12;UEQ 2 (Standard)_13;UEQ 2 (Standard)_14;UEQ 2 (Standard)_15;UEQ 2 (Standard)_16;UEQ 2 (Standard)_17;UEQ 2 (Standard)_18;UEQ 2 (Standard)_19;UEQ 2 (Standard)_20;UEQ 2 (Standard)_21;UEQ 2 (Standard)_22;UEQ 2 (Standard)_23;UEQ 2 (Standard)_24;UEQ 2 (Standard)_25;UEQ 2 (Standard)_26;UES 2 (Standard)_1;UES 2 (Standard)_2;UES 2 (Standard)_3;UES 2 (Standard)_4;UES 2 (Standard)_5;UES 2 (Standard)_6;UES 2 (Standard)_7;UES 2 (Standard)_8;UES 2 (Standard)_9;UES 2 (Standard)_10;UES 2 (Standard)_11;UES 2 (Standard)_12;AF 2 (Standard);UEQ 1 (Squishy)_1;UEQ 1 (Squishy)_2;UEQ 1 (Squishy)_3;UEQ 1 (Squishy)_4;UEQ 1 (Squishy)_5;UEQ 1 (Squishy)_6;UEQ 1 (Squishy)_7;UEQ 1 (Squishy)_8;UEQ 1 (Squishy)_9;UEQ 1 (Squishy)_10;UEQ 1 (Squishy)_11;UEQ 1 (Squishy)_12;UEQ 1 (Squishy)_13;UEQ 1 (Squishy)_14;UEQ 1 (Squishy)_15;UEQ 1 (Squishy)_16;UEQ 1 (Squishy)_17;UEQ 1 (Squishy)_18;UEQ 1 (Squishy)_19;UEQ 1 (Squishy)_20;UEQ 1 (Squishy)_21;UEQ 1 (Squishy)_22;UEQ 1 (Squishy)_23;UEQ 1 (Squishy)_24;UEQ 1 (Squishy)_25;UEQ 1 (Squishy)_26;UES 1 (Squishy)_1;UES 1 (Squishy)_2;UES 1 (Squishy)_3;UES 1 (Squishy)_4;UES 1 (Squishy)_5;UES 1 (Squishy)_6;UES 1 (Squishy)_7;UES 1 (Squishy)_8;UES 1 (Squishy)_9;UES 1 (Squishy)_10;UES 1 (Squishy)_11;UES 1 (Squishy)_12;AF 1 (Squishy);UEQ 2 (Squishy)_1;UEQ 2 (Squishy)_2;UEQ 2 (Squishy)_3;UEQ 2 (Squishy)_4;UEQ 2 (Squishy)_5;UEQ 2 (Squishy)_6;UEQ 2 (Squishy)_7;UEQ 2 (Squishy)_8;UEQ 2 (Squishy)_9;UEQ 2 (Squishy)_10;UEQ 2 (Squishy)_11;UEQ 2 (Squishy)_12;UEQ 2 (Squishy)_13;UEQ 2 (Squishy)_14;UEQ 2 (Squishy)_15;UEQ 2 (Squishy)_16;UEQ 2 (Squishy)_17;UEQ 2 (Squishy)_18;UEQ 2 (Squishy)_19;UEQ 2 (Squishy)_20;UEQ 2 (Squishy)_21;UEQ 2 (Squishy)_22;UEQ 2 (Squishy)_23;UEQ 2 (Squishy)_24;UEQ 2 (Squishy)_25;UEQ 2 (Squishy)_26;UES 2 (Squishy)_1;UES 2 (Squishy)_2;UES 2 (Squishy)_3;UES 2 (Squishy)_4;UES 2 (Squishy)_5;UES 2 (Squishy)_6;UES 2 (Squishy)_7;UES 2 (Squishy)_8;UES 2 (Squishy)_9;UES 2 (Squishy)_10;UES 2 (Squishy)_11;UES 2 (Squishy)_12;AF 2 (Squishy);Durchlauf;Aufgabe 1;Aufgabe 2;Durchlauf 1 Gew„hlt = Standard;Aufgabe 1 Gew„hlt;Aufgabe 2 Gew„hlt;Durchlauf 1 Gew„hlt = Squishy
1;2025-02-03 04:05:05;2025-02-03 06:05:13;IP-Adresse;138.246.3.189;100;7207;WAHR;2025-02-03 06:05:14;R_2viVITa8xEz4FjO;;;;;48.1475;11.5865;anonymous;EN;21;M„nnlich;Allgemeine Hochschulreife (Abitur);;Student;H„ufig;Sehr H„ufig;2;7;6;1;6;2;2;6;3;6;6;4;7;5;1;5;6;6;1;3;1;7;1;5;3;2;Neither agree nor disagree;Disagree;Disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Disagree;Disagree;Žuáerst unzufrieden;5;6;6;1;3;2;2;6;1;7;4;4;6;4;1;5;3;6;2;1;2;6;2;4;4;2;Neither agree nor disagree;Disagree;Agree;Agree;Disagree;Neither agree nor disagree;Disagree;Disagree;Disagree;Neither agree nor disagree;Agree;Disagree;Zufrieden;7;6;2;1;3;6;6;5;2;2;6;2;7;6;6;7;2;1;5;5;1;5;1;4;1;6;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Agree;Strongly Agree;Zufrieden;7;7;2;1;2;7;7;6;1;2;6;1;7;6;6;6;2;1;1;5;1;5;2;3;2;6;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Strongly Agree;Strongly Agree;Unzufrieden;Squishy;Buchcover;Witz;;Buchcover;Witz;
2;2025-02-03 06:43:05;2025-02-03 07:48:44;IP-Adresse;138.246.3.189;100;3939;WAHR;2025-02-03 07:48:45;R_22l8ct3kQosqsjx;;;;;48.1475;11.5865;anonymous;EN;24;Weiblich;Allgemeine Hochschulreife (Abitur);;Student;Selten;H„ufig;5;6;5;3;3;3;3;6;2;2;4;3;5;4;5;5;3;3;3;7;1;4;3;2;1;5;Strongly Disagree;Disagree;Disagree;Strongly Disagree;Strongly Agree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Zufrieden;6;7;3;2;2;7;7;3;1;5;5;3;6;5;3;6;3;5;4;5;1;6;3;4;3;5;Disagree;Agree;Disagree;Disagree;Disagree;Disagree;Agree;Disagree;Agree;Agree;Neither agree nor disagree;Strongly Agree;Zufrieden;6;7;1;1;1;6;7;3;1;6;6;1;7;7;7;7;2;2;3;6;2;6;2;1;1;6;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Strongly Agree;Žuáerst zufrieden;6;6;2;2;3;4;5;3;2;2;3;3;5;4;5;5;3;3;3;6;4;5;3;3;3;5;Disagree;Disagree;Disagree;Disagree;Strongly Disagree;Disagree;Agree;Agree;Agree;Strongly Agree;Agree;Agree;Zufrieden;Standard;Buchcover;Reim;;Buchcover;Reim;
3;2025-02-04 02:36:27;2025-02-04 04:57:03;IP-Adresse;138.246.3.235;100;8435;WAHR;2025-02-04 04:57:04;R_23dGQRbs0Z9NTuv;;;;;48.1475;11.5865;anonymous;EN;24;Weiblich;Allgemeine Hochschulreife (Abitur);;Werkstudent an einem Museum;Manchmal;H„ufig;5;4;5;3;4;5;6;6;5;5;7;4;6;6;4;5;5;3;4;5;1;6;2;3;3;6;Disagree;Agree;Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Zufrieden;6;6;2;2;5;5;5;3;3;4;7;1;7;5;5;6;3;2;4;6;2;7;1;1;1;6;Neither agree nor disagree;Agree;Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Žuáerst zufrieden;7;7;1;1;3;6;7;5;4;2;5;2;7;7;7;7;3;3;4;5;1;6;2;1;1;7;Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Žuáerst unzufrieden;7;7;1;1;2;7;7;6;5;1;6;1;7;7;7;7;3;3;7;5;1;7;1;1;1;7;Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Žuáerst zufrieden;Standard;Logo;Reim;;Logo;Reim;
4;2025-02-04 05:10:16;2025-02-04 07:18:13;IP-Adresse;138.246.3.235;100;7677;WAHR;2025-02-04 07:18:13;R_8XaDKBGG8nwaNvC;;;;;48.1475;11.5865;anonymous;EN;20;M„nnlich;Allgemeine Hochschulreife (Abitur);;Student ;H„ufig;Sehr H„ufig;4;7;5;1;5;3;3;7;1;6;5;3;7;4;3;5;4;4;2;7;1;7;5;4;3;2;Disagree;Neither agree nor disagree;Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Disagree;Disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Zufrieden;3;6;5;1;4;3;3;7;1;6;4;3;7;4;3;4;4;4;1;6;2;6;4;5;4;3;Disagree;Neither agree nor disagree;Disagree;Strongly Disagree;Disagree;Neither agree nor disagree;Disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Agree;Zufrieden;6;6;1;2;4;6;5;7;4;1;5;3;6;7;7;7;3;2;1;5;4;5;1;2;1;7;Disagree;Neither agree nor disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Disagree;Agree;Strongly Agree;Strongly Agree;Disagree;Agree;Strongly Agree;Žuáerst unzufrieden;7;7;2;2;3;5;5;7;2;1;4;3;6;7;7;6;2;2;1;5;2;5;2;2;1;7;Disagree;Neither agree nor disagree;Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Agree;Agree;Strongly Agree;Disagree;Agree;Strongly Agree;Unzufrieden;Squishy;Buchcover;Witz;;Buchcover;Witz;
5;2025-02-05 02:45:27;2025-02-05 03:24:39;IP-Adresse;138.246.3.112;100;2352;WAHR;2025-02-05 03:24:40;R_2hOdRxFTLope9Fv;;;;;48.1475;11.5865;anonymous;EN;32;M„nnlich;Master;;Doktorand;Selten;H„ufig;6;6;3;2;2;4;5;3;2;2;5;2;6;6;5;5;3;3;2;5;3;6;3;2;3;5;Neither agree nor disagree;Disagree;Agree;Disagree;Disagree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Zufrieden;6;7;2;2;2;6;7;5;1;3;6;3;5;5;5;6;3;2;2;5;3;5;3;2;3;5;Neither agree nor disagree;Disagree;Neither agree nor disagree;Disagree;Disagree;Disagree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Zufrieden;5;3;3;5;2;6;5;5;3;2;4;3;3;4;5;4;4;4;4;3;5;3;5;3;3;4;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Disagree;Agree;Strongly Agree;Agree;Agree;Agree;Neither agree nor disagree;Žuáerst zufrieden;5;6;2;3;2;5;6;3;3;2;3;2;5;5;6;5;4;3;5;5;5;5;3;2;3;5;Neither agree nor disagree;Disagree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Strongly Agree;Agree;Strongly Agree;Agree;Zufrieden;Standard;Logo;Witz;;Logo;Witz;
6;2025-02-05 04:06:41;2025-02-05 05:02:59;IP-Adresse;138.246.3.112;100;3378;WAHR;2025-02-05 05:03:00;R_29k72hRlrATOHhD;;;;;48.1475;11.5865;anonymous;EN;43;M„nnlich;Master;;Selbstst„ndig;Manchmal;Nie;7;7;3;1;2;5;6;4;4;3;5;2;6;6;6;6;3;2;3;6;2;4;3;2;2;2;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Zufrieden;7;7;1;1;1;6;6;5;1;1;7;1;7;7;7;7;1;1;2;7;1;6;1;1;1;6;Strongly Agree;Strongly Agree;Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Žuáerst zufrieden;5;6;3;4;6;4;3;4;5;5;3;5;5;3;3;3;5;4;6;3;5;5;5;6;6;3;Agree;Agree;Agree;Disagree;Strongly Disagree;Agree;Agree;Disagree;Agree;Agree;Agree;Agree;Weder zufrieden noch unzufrieden;6;6;3;3;4;4;3;4;5;6;5;3;6;5;5;5;3;4;4;4;4;4;4;4;4;4;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Zufrieden;Squishy;Buchcover;Witz;;Buchcover;Witz;
7;2025-02-05 05:11:41;2025-02-05 06:35:22;IP-Adresse;138.246.3.112;100;5021;WAHR;2025-02-05 06:35:23;R_8i5QfmrmetfzkeB;;;;;48.1475;11.5865;anonymous;EN;49;Weiblich;Anderes (bitte angeben);Dr.;Wissenschaftliche Mitarbeiterin ;Sehr H„ufig;Manchmal;4;7;5;1;3;3;3;4;4;7;7;4;7;4;1;4;4;4;1;4;1;7;4;4;5;4;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Disagree;Strongly Disagree;Žuáerst zufrieden;7;7;7;1;2;4;4;4;4;4;4;4;7;4;1;4;1;4;1;4;1;7;4;7;7;1;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Zufrieden;7;7;1;1;1;7;7;4;4;2;4;1;7;5;6;7;1;1;4;4;2;6;4;1;1;7;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Zufrieden;7;7;1;1;1;5;7;5;4;2;4;1;7;4;7;7;1;4;2;7;1;6;1;1;1;7;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Žuáerst zufrieden;Standard;Logo;Witz;;Logo;Witz;
8;2025-02-05 07:06:19;2025-02-05 08:05:09;IP-Adresse;138.246.3.112;100;3529;WAHR;2025-02-05 08:05:10;R_2JxQpdzBmGqBgIs;;;;;48.1475;11.5865;anonymous;EN;31;M„nnlich;Bachelor;;Student, HIWI;Manchmal;Manchmal;5;7;7;1;3;2;3;4;1;6;4;4;7;4;1;4;4;5;4;5;1;4;1;6;4;2;Strongly Disagree;Strongly Disagree;Disagree;Strongly Disagree;Disagree;Strongly Disagree;Disagree;Disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Zufrieden;3;3;5;4;5;3;2;4;5;6;4;5;3;3;3;4;4;4;5;4;5;4;3;5;5;2;Disagree;Neither agree nor disagree;Disagree;Agree;Disagree;Agree;Disagree;Neither agree nor disagree;Disagree;Disagree;Disagree;Disagree;Unzufrieden;6;6;2;1;3;5;5;7;2;2;6;2;7;5;6;7;3;3;2;5;2;6;2;3;2;5;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Disagree;Disagree;Strongly Disagree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Unzufrieden;6;6;2;1;3;5;5;6;3;2;5;2;7;5;6;6;3;4;2;4;1;5;2;3;2;5;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Weder zufrieden noch unzufrieden;Squishy;Buchcover;Witz;;Buchcover;Witz;
9;2025-02-06 02:55:17;2025-02-06 03:39:23;IP-Adresse;138.246.3.191;100;2645;WAHR;2025-02-06 03:39:23;R_8qlWvlLTzdIXIFT;;;;;48.1475;11.5865;anonymous;EN;41;M„nnlich;Allgemeine Hochschulreife (Abitur);;šbersetzungen;Selten;Selten;6;6;4;5;4;5;5;4;4;5;5;3;4;4;5;5;3;3;4;5;3;4;3;3;4;4;Disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Weder zufrieden noch unzufrieden;6;6;2;2;4;6;5;4;3;3;4;3;5;5;5;5;3;3;4;5;5;4;3;2;4;5;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Weder zufrieden noch unzufrieden;6;5;2;6;3;6;5;4;4;3;5;3;5;5;6;6;4;3;5;4;2;5;2;3;2;6;Disagree;Agree;Neither agree nor disagree;Disagree;Disagree;Disagree;Agree;Agree;Agree;Agree;Agree;Agree;Zufrieden;6;6;2;2;4;6;5;4;4;2;6;3;6;5;5;5;3;3;4;4;4;4;4;3;2;5;Neither agree nor disagree;Agree;Neither agree nor disagree;Disagree;Disagree;Neither agree nor disagree;Agree;Agree;Disagree;Agree;Neither agree nor disagree;Agree;Zufrieden;Squishy;Logo;Reim;;Logo;Reim;
10;2025-02-06 04:10:39;2025-02-06 06:15:37;IP-Adresse;138.246.3.191;100;7497;WAHR;2025-02-06 06:15:38;R_8CVnkFHbUInej17;;;;;48.1475;11.5865;anonymous;EN;57;M„nnlich;Anderes (bitte angeben);Dipl. Ing.;Data Scientist;Sehr H„ufig;H„ufig;5;5;4;2;4;5;5;4;2;3;4;3;4;5;5;5;3;3;2;5;4;4;3;3;4;5;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Agree;Zufrieden;5;6;3;2;2;5;4;2;2;4;4;2;5;4;5;5;4;5;3;5;3;4;2;3;3;5;Neither agree nor disagree;Agree;Agree;Strongly Disagree;Disagree;Agree;Neither agree nor disagree;Agree;Disagree;Agree;Agree;Agree;Žuáerst unzufrieden;5;4;4;3;4;5;5;4;2;4;4;3;5;4;6;5;3;3;3;3;4;4;5;3;3;5;Disagree;Strongly Agree;Agree;Agree;Strongly Disagree;Neither agree nor disagree;Agree;Disagree;Agree;Agree;Agree;Agree;Weder zufrieden noch unzufrieden;6;5;6;3;4;4;3;5;2;5;4;3;5;5;5;4;4;3;3;5;2;4;3;3;3;5;Neither agree nor disagree;Agree;Agree;Agree;Strongly Disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Agree;Weder zufrieden noch unzufrieden;Standard;Buchcover;Reim;;Buchcover;Reim;
11;2025-02-06 06:34:43;2025-02-06 07:16:10;IP-Adresse;138.246.3.191;100;2487;WAHR;2025-02-06 07:16:11;R_2I5GeCboWQFuNF2;;;;;48.1475;11.5865;anonymous;EN;27;Weiblich;Master;;Studentin;H„ufig;H„ufig;5;6;3;2;4;4;3;3;2;6;4;4;6;4;2;5;4;4;4;5;6;5;3;5;4;2;Disagree;Disagree;Disagree;Strongly Disagree;Disagree;Neither agree nor disagree;Disagree;Disagree;Disagree;Disagree;Neither agree nor disagree;Disagree;Unzufrieden;5;5;4;3;4;3;3;5;3;5;5;3;5;4;3;5;3;4;3;5;3;5;3;4;3;3;Neither agree nor disagree;Disagree;Disagree;Disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Disagree;Strongly Disagree;Disagree;Neither agree nor disagree;Zufrieden;5;6;2;2;2;5;5;5;3;2;6;2;6;6;6;7;4;2;3;6;2;6;2;1;1;6;Neither agree nor disagree;Agree;Agree;Disagree;Disagree;Neither agree nor disagree;Agree;Strongly Disagree;Strongly Disagree;Agree;Strongly Disagree;Agree;Unzufrieden;6;6;2;2;2;6;6;5;2;2;6;2;7;6;6;7;3;2;2;6;2;6;2;1;1;6;Agree;Agree;Agree;Disagree;Disagree;Neither agree nor disagree;Agree;Strongly Disagree;Agree;Agree;Agree;Agree;Zufrieden;Standard;Logo;Reim;;Logo;Reim;
12;2025-02-06 07:30:00;2025-02-06 09:36:33;IP-Adresse;138.246.3.191;100;7593;WAHR;2025-02-06 09:36:34;R_2g0ho7rdTeagET4;;;;;48.1475;11.5865;anonymous;EN;22;M„nnlich;Allgemeine Hochschulreife (Abitur);;Student;H„ufig;H„ufig;3;5;6;5;4;3;3;2;2;7;4;5;5;4;2;5;3;6;6;4;2;7;1;7;4;1;Neither agree nor disagree;Disagree;Disagree;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Agree;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Zufrieden;3;3;7;3;5;2;2;4;3;7;3;6;5;1;1;3;2;7;2;5;7;7;1;6;5;1;Agree;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Strongly Disagree;Disagree;Neither agree nor disagree;Strongly Disagree;Disagree;Neither agree nor disagree;Unzufrieden;7;7;1;1;3;4;5;6;3;2;4;2;5;5;5;5;4;2;2;4;3;3;4;3;3;6;Disagree;Agree;Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Agree;Strongly Agree;Agree;Strongly Agree;Agree;Strongly Agree;Žuáerst zufrieden;6;6;1;2;3;6;7;7;2;1;6;1;7;7;6;7;2;1;5;5;4;3;5;2;2;6;Neither agree nor disagree;Agree;Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;Agree;Agree;Strongly Agree;Agree;Strongly Agree;Žuáerst zufrieden;Squishy;Buchcover;Reim;;Buchcover;Reim;
13;2025-02-08 13:13:36;2025-02-08 13:56:52;IP-Adresse;95.90.194.108;100;2595;WAHR;2025-02-08 13:56:52;R_8OHlYF9wwinJ2js;;;;;48.1537;11.5269;anonymous;EN;26;Weiblich;Bachelor;;Projekt Managerin;Manchmal;H„ufig;3;5;7;2;6;1;1;6;2;7;5;4;7;3;1;4;4;6;2;5;2;7;2;6;7;1;Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Agree;Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Disagree;Disagree;Disagree;Unzufrieden;2;7;7;1;6;2;2;4;2;6;6;6;7;3;1;4;2;7;2;5;2;7;2;6;4;2;Disagree;Strongly Disagree;Disagree;Strongly Agree;Strongly Disagree;Disagree;Strongly Disagree;Agree;Strongly Disagree;Disagree;Strongly Disagree;Neither agree nor disagree;Unzufrieden;7;7;1;2;2;6;6;4;5;1;6;1;5;7;7;7;3;1;6;3;2;5;2;1;1;7;Strongly Agree;Agree;Strongly Agree;Strongly Disagree;Agree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Agree;Žuáerst zufrieden;7;7;1;2;3;7;6;4;5;1;4;1;6;5;7;6;3;1;4;5;2;5;2;1;1;7;Agree;Agree;Agree;Disagree;Strongly Agree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Strongly Agree;Žuáerst zufrieden;Standard;Buchcover;Witz;;Buchcover;Witz;
14;2025-02-11 10:13:05;2025-02-11 12:23:32;IP-Adresse;95.90.194.108;100;7826;WAHR;2025-02-11 12:23:32;R_8Hn83mjBRzcaCtg;;;;;48.1537;11.5269;anonymous;EN;32;M„nnlich;Anderes (bitte angeben);Dipl. Ing.;Selbstst„ndig;H„ufig;Sehr H„ufig;2;6;4;2;3;2;4;6;2;6;4;3;7;3;2;4;1;6;2;1;1;6;1;6;5;2;Disagree;Neither agree nor disagree;Disagree;Disagree;Strongly Disagree;Disagree;Disagree;Neither agree nor disagree;Disagree;Disagree;Disagree;Disagree;Weder zufrieden noch unzufrieden;3;7;6;7;5;2;2;6;2;6;5;4;6;2;1;2;2;6;2;2;1;6;2;5;4;3;Strongly Disagree;Disagree;Disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Disagree;Neither agree nor disagree;Disagree;Disagree;Zufrieden;6;5;2;2;3;6;6;5;2;2;5;3;5;6;6;6;3;2;3;5;3;5;2;2;1;6;Neither agree nor disagree;Agree;Neither agree nor disagree;Disagree;Disagree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Strongly Agree;Zufrieden;6;6;1;2;2;6;6;3;2;1;5;3;5;7;7;6;3;2;3;5;4;5;2;2;2;6;Neither agree nor disagree;Agree;Agree;Disagree;Disagree;Disagree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Zufrieden;Squishy;Logo;Witz;;Logo;Witz;
